#,Beschreibung,Preis,Beschreibung Detail,URL,willhaben ID,Ort,Datum,Bild
1,"LEGO 2479 TECHNIK ROTOR PROPELLER","€0,10","TECHNIK ROTOR/PROPELLER 2479 - Stückpreis 10ct schwarz, 35x hellgrau 10x blau (2) Benützen sie die Nachrichten Funktion bei jedem Artikel, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr nach Tarifrechner) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, ungesicherter Versand",https://www.willhaben.at/iad/object?adId=1073687805,1073687805,"2333 Leopoldsdorf","01.04. - 12:16",https://cache.willhaben.at/mmo/5/107/368/7805_-1642469435_hoved.jpg
2,"LEGO 18651 TECHNIK ACHSE SET 10 Stück","€0,70","ACHSE 18651/2 mit Stift/2L – Set 10Stk/70ct schwarz Jede Bestellung einzeln über die Nachrichten Funktion senden, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, bei nicht versichertem Versand……",https://www.willhaben.at/iad/object?adId=1489944231,1489944231,"2333 Leopoldsdorf","04.04. - 15:33",https://cache.willhaben.at/mmo/1/148/994/4231_1228988158_hoved.jpg
3,"LEGO 3708 ACHSE 9,6cm","€0,30","TECHNIK ACHSE 3708/12L – 9,6cm = 12L schwarz Stück 30ct Jede Bestellung über die Nachrichten Funktion senden, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr ) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, ungesicherter Versand",https://www.willhaben.at/iad/object?adId=925254628,925254628,"2333 Leopoldsdorf","04.04. - 15:04",https://cache.willhaben.at/mmo/8/925/254/628_1114560960_hoved.jpg
4,"LEGO 60483 TECHNIK HUBARM","€0,07","HUBARM 60483/1x2 dick – Stift/Achsloch - Stückpreis 7 Cent Farbe mehrfach: bl hellgrau schwarz bl. dunkelgrau orange darktan 4x Jede Bestellung einzeln über die Nachrichten Funktion senden, danke Artikel aus diversen Serien, gebraucht aber guter Zustand. Selbstabholung oder Versand (Vorkasse + Versandgebühr ) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, ungesicherter Versand",https://www.willhaben.at/iad/object?adId=1959290943,1959290943,"2333 Leopoldsdorf","13.04. - 08:09",https://cache.willhaben.at/mmo/3/195/929/0943_897108569_hoved.jpg
5,"LEGO 32054 TECHNIK ANSCHLAGBUCHSE","€0,40","TECHNIK 32054/3L, Stopbuchse, Preis 10x 40ct Farben schwarz rot blau hellgrau Selbstabholung oder Versand (Vorkasse + Versandgebühr) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, bei nicht versichertem Versand",https://www.willhaben.at/iad/object?adId=2125070485,2125070485,"2333 Leopoldsdorf","18.04. - 08:21",https://cache.willhaben.at/mmo/5/212/507/0485_-1201019505_n_hoved.jpg
6,"LEGO 2736 TECHNIK ACHSE","€1","ACHSE 2736 mit KUGELKOPF - Set 25 Stk./1,00€ Benützen sie die Nachrichten Funktion bei jedem Artikel, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, ungesicherter Versand",https://www.willhaben.at/iad/object?adId=1924949810,1924949810,"2333 Leopoldsdorf","19.04. - 10:07",https://cache.willhaben.at/mmo/0/192/494/9810_369809624_hoved.jpg
7,"LEGO 32526 LIFTARM HUBARM TECHNIK","€0,08","HUBARM 32526/3x5 gebogene L-Form dick – Stückpreis 8ct Farben: bl.hellgrau bl.dunkelgrau gelb rot blau limette schwarz orange Jede Bestellung über die Nachrichten Funktion senden, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch ungesicherter Versand",https://www.willhaben.at/iad/object?adId=968768051,968768051,"2333 Leopoldsdorf","19.04. - 10:15",https://cache.willhaben.at/mmo/1/968/768/051_967305522_hoved.jpg
8,"LEGO 61184 TECHNIK VERBINDER SET 15 Stk.","€0,50","TECHNIK PIN-VERBINDER 61184/2L Bar - Set 15Stk/0,50€ bl. hellgrau Jede Bestellung einzeln über die Nachrichten Funktion senden, danke Artikel aus diversen Serien, gebraucht aber guter Zustand. Selbstabholung oder Versand (Vorkasse + Versandgebühr ) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch ungesicherter Versand",https://www.willhaben.at/iad/object?adId=1127593123,1127593123,"2333 Leopoldsdorf","19.04. - 10:16",https://cache.willhaben.at/mmo/3/112/759/3123_2096549483_hoved.jpg
9,"LEGO 32209 TECHNIK ACHSE 15 Stück","€0,80","ACHSE mit STOP 32209/5L - Set 15Stk/80ct bl. dunkelgrau Jede Bestellung über die Nachrichten Funktion senden, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch, ungesicherter Versand",https://www.willhaben.at/iad/object?adId=1924654994,1924654994,"2333 Leopoldsdorf","19.04. - 10:19",https://cache.willhaben.at/mmo/4/192/465/4994_-1602626216_hoved.jpg
10,"LEGO 731c05 STOSSDÄMPFER","€0,65","STOSSDÄMPFER 731c05/6,5L normale Feder, Stück 65ct Farben rot 2 Stk. hellgrau mehrmals vorhanden Benützen sie die Nachrichten Funktion bei jedem Artikel, danke Selbstabholung oder Versand (Vorkasse + Versandgebühr) Privatverkauf keine Gewährleistung: wie Garantie, Rückgabe, Umtausch ungesicherter Versand",https://www.willhaben.at/iad/object?adId=1618855818,1618855818,"2333 Leopoldsdorf","23.04. - 15:52",https://cache.willhaben.at/mmo/8/161/885/5818_-1990795622_hoved.jpg
